,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,78.78,64,32,11.92,scattered clouds
1,Rocha,UY,-34.4833,-54.3333,67.6,89,100,5.28,overcast clouds
2,Castro,BR,-24.7911,-50.0119,75.43,60,85,3.74,overcast clouds
3,Rikitea,PF,-23.1203,-134.9692,76.73,74,11,16.35,few clouds
4,Vilaka,LV,57.1846,27.6722,30.78,98,100,3.49,overcast clouds
5,Khasan,RU,42.4308,130.6434,36.48,60,70,3.27,broken clouds
6,East London,ZA,-33.0153,27.9116,69.12,74,26,5.84,scattered clouds
7,Sampaloc,PH,14.5402,121.3602,72.46,93,100,4.65,overcast clouds
8,Kaitangata,NZ,-46.2817,169.8464,58.39,50,100,6.93,overcast clouds
9,Hermanus,ZA,-34.4187,19.2345,63.55,84,75,7.61,broken clouds
10,Vaini,TO,-21.2,-175.2,80.76,74,20,9.22,few clouds
11,Hilo,US,19.7297,-155.09,78.53,65,40,10.36,scattered clouds
12,Saskylakh,RU,71.9167,114.0833,-19.86,100,100,4.43,overcast clouds
13,Jamestown,US,42.097,-79.2353,36.72,100,90,9.22,mist
14,Mataura,NZ,-46.1927,168.8643,58.6,51,84,3.69,broken clouds
15,Butaritari,KI,3.0707,172.7902,81.61,78,86,13.18,overcast clouds
16,Nouadhibou,MR,20.931,-17.0347,69.78,64,100,20.71,overcast clouds
17,Lugovoy,KZ,42.9472,72.7644,28.22,62,8,4.03,clear sky
18,Constitucion,CL,-35.3333,-72.4167,63.14,57,6,20.83,clear sky
19,Punta Arenas,CL,-53.15,-70.9167,50.11,62,75,29.93,light rain
20,Nurota,UZ,40.5614,65.6886,32.09,51,3,3.6,clear sky
21,Saint Anthony,US,45.0205,-93.218,39.13,31,1,11.5,clear sky
22,Cidreira,BR,-30.1811,-50.2056,72.3,87,100,8.61,overcast clouds
23,Mar Del Plata,AR,-38.0023,-57.5575,66.22,88,90,14.97,moderate rain
24,Hobart,AU,-42.8794,147.3294,53.46,76,0,9.22,clear sky
25,Avon Park,US,27.5959,-81.5062,69.55,38,100,4.85,overcast clouds
26,Torbay,CA,47.6666,-52.7314,45.37,70,75,13.8,broken clouds
27,Richards Bay,ZA,-28.783,32.0377,73.22,72,0,13.4,clear sky
28,Walvis Bay,NA,-22.9575,14.5053,59.95,88,0,5.75,clear sky
29,Khatanga,RU,71.9667,102.5,-8.03,98,100,9.31,overcast clouds
30,Kapaa,US,22.0752,-159.319,80.92,61,40,11.5,scattered clouds
31,Tuktoyaktuk,CA,69.4541,-133.0374,-9.4,70,75,17.27,light snow
32,Atuona,PF,-9.8,-139.0333,78.53,72,1,18.23,clear sky
33,Bathsheba,BB,13.2167,-59.5167,84.81,70,40,14.97,scattered clouds
34,Cape Town,ZA,-33.9258,18.4232,63.01,94,40,4.61,scattered clouds
35,Busselton,AU,-33.65,115.3333,61.63,80,38,7.92,scattered clouds
36,Puerto Ayora,EC,-0.7393,-90.3518,78.76,81,85,10.18,overcast clouds
37,Hearst,CA,49.6835,-83.6665,23.25,93,100,6.98,overcast clouds
38,Georgetown,MY,5.4112,100.3354,76.95,88,20,0.0,few clouds
39,La Palma,US,33.8464,-118.0467,83.21,22,1,5.75,clear sky
40,Carnarvon,AU,-24.8667,113.6333,75.27,64,0,14.97,clear sky
41,Adrar,MR,20.5022,-10.0711,62.19,32,0,11.25,clear sky
42,Mabaruma,GY,8.2,-59.7833,78.49,83,100,5.61,overcast clouds
43,Ushuaia,AR,-54.8,-68.3,46.06,71,40,20.71,light rain
44,Lebu,CL,-37.6167,-73.65,56.28,70,5,19.35,clear sky
45,Mahanoro,MG,-19.9,48.8,70.11,90,100,6.69,light rain
46,La Baule-Escoublac,FR,47.2922,-2.364,38.61,93,0,2.3,clear sky
47,Ucluelet,CA,48.9329,-125.5528,52.11,94,100,4.21,overcast clouds
48,Bengkulu,ID,-3.8004,102.2655,75.85,85,100,4.72,overcast clouds
49,Nikolskoye,RU,59.7035,30.7861,24.69,92,96,5.37,overcast clouds
50,Norman Wells,CA,65.282,-126.8329,-30.96,61,75,2.3,broken clouds
51,Surgut,RU,61.25,73.4167,15.98,92,90,6.71,light snow
52,Albany,US,42.6001,-73.9662,30.85,84,91,2.98,overcast clouds
53,Ancud,CL,-41.8697,-73.8203,58.53,69,73,9.15,broken clouds
54,Sume,BR,-7.6717,-36.88,87.6,37,43,16.15,scattered clouds
55,Talnakh,RU,69.4865,88.3972,-16.1,98,72,2.37,broken clouds
56,Bud,US,39.447,-86.1758,44.69,43,22,15.03,few clouds
57,Goderich,CA,43.7501,-81.7165,34.12,86,100,6.91,moderate rain
58,Lagoa,PT,39.05,-27.9833,60.39,55,63,1.9,broken clouds
59,Laguna,US,38.421,-121.4238,71.42,59,1,5.75,clear sky
60,Biskamzha,RU,53.4497,89.5272,14.2,97,99,4.65,overcast clouds
61,Gwanda,ZW,-20.9333,29.0,73.06,52,17,6.55,few clouds
62,Pevek,RU,69.7008,170.3133,1.9,89,100,1.79,overcast clouds
63,Carora,VE,10.1755,-70.0827,84.2,56,98,7.58,overcast clouds
64,Upernavik,GL,72.7868,-56.1549,-9.53,80,8,11.07,clear sky
65,Faya,SA,18.3851,42.4509,57.31,38,0,5.26,clear sky
66,Yellowknife,CA,62.456,-114.3525,18.12,93,90,12.66,light snow
67,Zaysan,KZ,47.4667,84.8667,11.68,88,24,0.38,few clouds
68,Isangel,VU,-19.55,169.2667,81.21,75,100,7.25,overcast clouds
69,Kruisfontein,ZA,-34.0033,24.7314,63.09,78,2,17.54,clear sky
70,Te Anau,NZ,-45.4167,167.7167,58.91,47,22,0.81,few clouds
71,Port Hedland,AU,-20.3167,118.5667,75.25,78,27,4.61,scattered clouds
72,Vardo,NO,70.3705,31.1107,17.58,86,75,16.11,light snow
73,Havoysund,NO,70.9963,24.6622,14.23,90,55,11.3,broken clouds
74,Muroto,JP,33.2833,134.15,53.56,60,2,3.71,clear sky
75,Iqaluit,CA,63.7506,-68.5145,24.53,68,90,11.5,overcast clouds
76,Ruidoso,US,33.3317,-105.673,59.14,18,1,10.36,clear sky
77,Aras,ES,42.5617,-2.356,37.81,87,90,13.8,light rain
78,Saint-Philippe,RE,-21.3585,55.7679,76.55,83,42,3.65,scattered clouds
79,Nanortalik,GL,60.1432,-45.2371,41.18,93,100,13.42,overcast clouds
80,Port-Cartier,CA,50.0334,-66.8654,30.42,66,100,13.73,overcast clouds
81,Avarua,CK,-21.2078,-159.775,78.85,61,20,6.91,few clouds
82,Ballinrobe,IE,53.6333,-9.2333,44.71,90,100,2.53,overcast clouds
83,Chokurdakh,RU,70.6333,147.9167,-39.03,100,79,0.58,broken clouds
84,Bandarbeyla,SO,9.4942,50.8122,77.7,75,36,18.81,scattered clouds
85,George,ZA,-33.963,22.4617,63.95,82,90,8.05,overcast clouds
86,Ust-Tsilma,RU,65.441,52.1498,13.06,94,100,6.71,light snow
87,Abu Samrah,SY,35.3029,37.1841,60.57,57,5,6.4,clear sky
88,Bredasdorp,ZA,-34.5322,20.0403,62.89,81,12,5.19,few clouds
89,Esik,KZ,43.3552,77.4525,17.02,48,0,7.43,clear sky
90,Campeche,MX,19.0,-90.5,87.33,41,100,4.7,overcast clouds
91,Mahebourg,MU,-20.4081,57.7,73.69,83,20,3.44,few clouds
